date,avgTemp,bike_rides_daily
1/1/2022,11.6,5181
1/2/2022,11.4,10802
1/3/2022,1.4,8276
1/4/2022,-2.7,9318
1/5/2022,3.2,8548
1/6/2022,4.9,11383
1/7/2022,0.7,4442
1/8/2022,-2.5,6143
1/9/2022,1.4,5351
1/10/2022,1.6,8734
1/11/2022,-5.4,6686
1/12/2022,-1.9,10143
1/13/2022,4,12442
1/14/2022,4.8,11502
1/15/2022,-6.7,5831
1/16/2022,-8,5239
1/17/2022,3.9,7339
1/18/2022,1.8,10760
1/19/2022,3.2,13500
1/20/2022,5.1,8562
1/21/2022,-6,8439
1/22/2022,-5.9,7909
1/23/2022,-0.7,8276
1/24/2022,-0.2,10468
1/25/2022,3.6,12727
1/26/2022,-2.3,10473
1/27/2022,-4.2,11101
1/28/2022,0.1,8719
1/29/2022,-4.8,755
1/30/2022,-7.1,2432
1/31/2022,-3.4,5467
2/1/2022,-1.7,7404
2/2/2022,2.3,10490
2/3/2022,6.4,6584
2/4/2022,5.8,5082
2/5/2022,-2.8,7447
2/6/2022,-4.8,7167
2/7/2022,0.5,7653
2/8/2022,4.1,12922
2/9/2022,2.8,13794
2/10/2022,6.3,15414
2/11/2022,8.6,16163
2/12/2022,11.8,16964
2/13/2022,2.8,5147
2/14/2022,-4.3,8507
2/15/2022,-4.7,10146
2/16/2022,1.6,13428
2/17/2022,11.6,16783
2/18/2022,9.9,11622
2/19/2022,0.1,7980
2/20/2022,-2.6,7693
2/21/2022,4.1,13149
2/22/2022,5.6,9141
2/23/2022,14.4,16676
2/24/2022,1.1,11089
2/25/2022,0.8,7707
2/26/2022,-1.1,10426
2/27/2022,2.4,10778
2/28/2022,1.4,11333
3/1/2022,2.6,13955
3/2/2022,7.7,16908
3/3/2022,5.6,13805
3/4/2022,-1.9,12285
3/5/2022,3.1,12821
3/6/2022,9.6,13655
3/7/2022,18.2,16933
3/8/2022,8.7,15523
3/9/2022,3.2,7109
3/10/2022,4,16495
3/11/2022,7.2,17253
3/12/2022,5.1,4878
3/13/2022,-2.3,7623
3/14/2022,5.3,15843
3/15/2022,11.6,19702
3/16/2022,13.6,20376
3/17/2022,8.2,12491
3/18/2022,13.9,23068
3/19/2022,13.1,19646
